"CX_score" "featureA" "featureB" "featureC" "featureD" "overall"
"872" 75 80 64 60 48 49
"873" 83 86 67 54 44 63
"874" 78 86 62 61 51 59
"875" 72 77 56 49 35 52
"876" 83 79 61 58 45 63
"877" 72 78 54 49 40 44
"878" 63 80 65 52 49 46
"879" 74 75 66 52 44 52
"880" 75 82 73 56 44 49
"881" 85 82 79 57 48 65
"882" 79 82 65 62 49 64
"883" 81 77 56 55 40 64
"884" 81 81 82 58 55 74
"885" 88 92 70 62 56 80
"886" 73 88 76 61 52 69
"887" 94 95 62 68 58 92
"888" 83 85 62 61 47 54
"889" 78 81 65 54 45 67
"890" 67 76 58 44 35 36
"891" 74 84 70 57 45 52
"892" 78 84 66 54 42 54
"893" 65 77 51 49 41 37
"894" 61 67 44 46 41 43
"895" 70 74 59 45 41 39
"896" 80 85 73 58 49 53
"897" 69 71 65 52 43 46
"898" 72 78 60 53 38 64
"899" 70 79 74 53 45 54
"900" 82 81 61 59 54 67
"901" 76 77 73 53 45 52
"902" 78 76 73 55 45 49
"903" 69 76 75 55 43 53
"904" 80 90 65 65 56 64
"905" 66 79 68 54 44 43
"906" 74 70 62 49 39 38
"907" 77 94 84 60 50 55
"908" 70 74 59 48 36 37
"909" 94 85 77 61 53 79
"910" 77 79 61 53 39 59
"911" 71 79 58 55 40 54
"912" 67 77 59 49 51 44
"913" 74 79 65 54 44 59
"914" 83 84 75 63 49 84
"915" 74 80 67 57 43 62
"916" 72 75 59 52 39 51
"917" 86 82 56 55 46 65
"918" 69 76 51 48 40 44
"919" 73 75 60 49 37 51
"920" 75 85 85 58 46 51
"921" 77 83 63 56 54 55
"922" 78 82 81 62 46 69
"923" 68 79 68 50 39 33
"924" 73 86 70 60 43 70
"925" 71 73 63 50 41 54
"926" 84 84 64 62 47 75
"927" 72 76 61 56 48 42
"928" 73 83 59 53 35 55
"929" 81 88 73 63 52 64
"930" 86 95 68 60 52 70
"931" 75 77 44 55 38 57
"932" 71 74 69 47 42 49
"933" 75 84 77 62 54 52
"934" 69 75 75 51 46 46
"935" 77 81 49 55 43 53
"936" 78 82 71 56 53 64
"937" 82 85 73 58 49 73
"938" 78 86 69 59 44 59
"939" 77 78 60 51 36 46
"940" 70 89 60 59 45 53
"941" 81 80 67 53 48 59
"942" 86 93 79 61 52 79
"943" 85 78 72 60 53 59
"944" 73 81 66 60 50 63
"945" 80 77 61 52 48 58
"946" 74 78 63 51 37 65
"947" 75 76 57 49 41 47
"948" 87 82 69 59 47 69
"949" 86 94 83 67 62 91
"950" 74 84 76 55 45 58
"951" 60 70 45 44 32 31
"952" 69 71 56 50 39 36
"953" 76 89 74 63 56 64
"954" 70 75 64 50 40 47
"955" 81 80 65 52 41 58
"956" 68 75 61 51 42 57
"957" 78 79 61 56 44 49
"958" 73 78 62 56 47 39
"959" 66 72 48 46 35 27
"960" 79 76 49 54 46 51
"961" 72 72 58 50 43 43
"962" 72 82 64 56 46 71
"963" 79 82 49 59 47 55
"964" 73 78 60 55 48 69
"965" 56 73 49 45 38 28
"966" 80 77 53 54 49 52
"967" 69 74 71 54 38 67
"968" 77 74 54 51 33 52
"969" 71 74 51 49 41 49
"970" 82 88 77 63 52 62
"971" 78 91 57 63 52 74
"972" 69 76 69 51 49 39
"973" 71 85 68 55 42 37
"974" 79 93 68 61 50 67
"975" 80 70 68 45 28 51
"976" 65 75 60 50 35 41
"977" 82 91 81 62 49 68
"978" 63 85 67 52 41 43
"979" 62 73 54 50 40 39
"980" 68 83 52 61 45 67
"981" 73 74 75 55 44 62
"982" 68 78 73 56 47 43
"983" 62 69 57 44 37 36
"984" 87 86 76 58 45 65
"985" 81 76 68 54 45 49
"986" 65 84 67 58 47 54
"987" 67 71 71 55 42 47
"988" 72 76 48 47 44 57
"989" 85 87 79 62 51 73
"990" 69 72 56 54 44 47
"991" 76 80 61 58 51 62
"992" 61 74 62 51 39 58
"993" 75 79 64 54 47 49
"994" 80 80 70 56 51 70
"995" 62 74 54 49 41 24
"996" 79 82 79 58 49 41
"997" 80 77 48 53 39 77
"998" 92 90 84 61 60 77
"999" 71 77 55 50 39 37
"1000" 74 86 75 58 43 51
