At what price would you consider the product to be priced so low that you would feel the quality couldnÕt be very good?,At what price would you consider the product to be a bargainÑa great buy for the money?,"At what price would you consider the product starting to get expensive, so that it is not out of the question, but you would have to give some thought to buying it?",At what price would you consider the product to be so expensive that you would not consider buying it?,How likely would you purchase your next smartphone at $[PIPE ANSWER FROM Q1.16_2]?,How likely would you purchase your next smartphone at $[PIPE ANSWER FROM Q1.16_3]?
30,35,41,65,Likely,Likely
20,43,82,98,Very likely,Likely
18,51,66,78,Neither likely nor unlikely,Likely
19,51,90,141,Likely,Likely
10,20,69,127,Likely,Neither likely nor unlikely
100,118,138,194,Very unlikely,Very unlikely
40,49,93,166,Neither likely nor unlikely,Unlikely
44,80,100,104,Likely,Likely
10,25,98,144,Very likely,Very likely
14,59,76,93,Likely,Unlikely
30,51,86,101,Likely,Unlikely
13,28,50,107,Very likely,Very likely
10,41,78,109,Likely,Likely
28,47,80,103,Likely,Likely
14,90,93,200,Neither likely nor unlikely,Neither likely nor unlikely
19,57,70,77,Likely,Neither likely nor unlikely
50,81,120,151,Very likely,Unlikely
25,54,64,100,Likely,Neither likely nor unlikely
15,25,40,65,Very likely,Likely
22,45,60,95,Very likely,Likely
20,101,138,200,Very likely,Likely
20,89,104,177,Likely,Unlikely
20,40,61,105,Very unlikely,Likely
35,56,79,113,Likely,Likely
26,76,81,127,Likely,Neither likely nor unlikely
17,40,47,61,Likely,Neither likely nor unlikely
10,60,71,101,Unlikely,Very likely
20,51,60,82,Very likely,Likely
14,25,48,172,Very likely,Very likely
22,30,31,65,Neither likely nor unlikely,Neither likely nor unlikely
51,127,165,200,Very unlikely,Very unlikely
36,47,68,100,Likely,Unlikely
15,20,60,90,Neither likely nor unlikely,Neither likely nor unlikely
10,56,65,94,Neither likely nor unlikely,Likely
10,19,27,62,Neither likely nor unlikely,Unlikely
14,66,104,190,Likely,Unlikely
50,60,69,80,Likely,Neither likely nor unlikely
20,35,101,111,Neither likely nor unlikely,Unlikely
10,30,60,100,Neither likely nor unlikely,Neither likely nor unlikely
29,58,81,88,Likely,Unlikely
47,61,79,200,Neither likely nor unlikely,Neither likely nor unlikely
29,56,95,148,Likely,Neither likely nor unlikely
25,41,61,81,Very likely,Likely
25,57,65,84,Likely,Neither likely nor unlikely
22,29,87,99,Very likely,Very unlikely
49,101,143,164,Neither likely nor unlikely,Neither likely nor unlikely
10,45,79,100,Very unlikely,Neither likely nor unlikely
48,48,112,198,Likely,Neither likely nor unlikely
10,11,13,93,Likely,Likely
54,68,96,96,Very likely,Neither likely nor unlikely
10,56,61,154,Very unlikely,Likely
66,112,156,200,Neither likely nor unlikely,Neither likely nor unlikely
50,70,99,135,Likely,Likely
10,16,20,132,Likely,Likely
12,30,72,104,Likely,Neither likely nor unlikely
73,90,119,134,Unlikely,Unlikely
10,25,86,104,Very likely,Very likely
10,40,70,90,Very likely,Likely
10,31,47,200,Likely,Likely
23,68,102,130,Very unlikely,Very likely
40,59,78,122,Neither likely nor unlikely,Unlikely
25,69,101,129,Very unlikely,Unlikely
12,72,100,175,Neither likely nor unlikely,Unlikely
28,38,89,93,Neither likely nor unlikely,Likely
30,60,80,110,Very likely,Very unlikely
34,45,72,101,Unlikely,Very likely
13,70,108,151,Likely,Neither likely nor unlikely
55,73,84,107,Likely,Likely
40,70,84,99,Neither likely nor unlikely,Neither likely nor unlikely
29,64,98,149,Neither likely nor unlikely,Neither likely nor unlikely
10,61,99,197,Likely,Very unlikely
21,85,110,122,Very unlikely,Neither likely nor unlikely
10,43,73,101,Likely,Likely
57,58,89,96,Very unlikely,Unlikely
21,70,122,152,Neither likely nor unlikely,Unlikely
10,45,82,100,Very likely,Likely
30,61,100,142,Neither likely nor unlikely,Likely
53,56,61,67,Neither likely nor unlikely,Neither likely nor unlikely
20,46,71,95,Likely,Neither likely nor unlikely
22,41,66,79,Very likely,Unlikely
10,45,92,118,Very likely,Likely
10,82,96,133,Likely,Likely
22,55,92,95,Likely,Likely
21,41,69,105,Neither likely nor unlikely,Likely
32,41,82,89,Very likely,Neither likely nor unlikely
10,30,50,71,Very likely,Very unlikely
30,50,101,111,Likely,Unlikely
10,23,107,113,Very likely,Likely
61,82,97,129,Likely,Neither likely nor unlikely
70,86,108,123,Likely,Likely
30,40,74,80,Neither likely nor unlikely,Unlikely
101,102,105,127,Neither likely nor unlikely,Unlikely
29,61,82,101,Likely,Neither likely nor unlikely
10,20,96,103,Neither likely nor unlikely,Neither likely nor unlikely
10,31,54,100,Likely,Likely
45,70,146,184,Neither likely nor unlikely,Very unlikely
30,60,71,100,Very likely,Likely
22,128,150,179,Neither likely nor unlikely,Unlikely
15,20,70,89,Likely,Unlikely
28,40,55,66,Neither likely nor unlikely,Likely
30,65,88,122,Likely,Neither likely nor unlikely
21,30,40,63,Neither likely nor unlikely,Unlikely
11,81,98,116,Neither likely nor unlikely,Neither likely nor unlikely
35,45,100,121,Very likely,Very unlikely
33,51,98,135,Likely,Likely
23,35,48,70,Likely,Likely
14,55,78,123,Likely,Likely
12,48,81,192,Very likely,Very unlikely
15,35,61,82,Likely,Neither likely nor unlikely
29,88,99,121,Likely,Neither likely nor unlikely
11,55,84,142,Neither likely nor unlikely,Likely
10,50,80,101,Very likely,Unlikely
35,50,65,71,Neither likely nor unlikely,Neither likely nor unlikely
40,61,79,120,Likely,Likely
30,48,63,80,Unlikely,Likely
52,100,122,151,Very likely,Very unlikely
52,70,89,139,Unlikely,Likely
70,76,84,114,Likely,Neither likely nor unlikely
10,35,93,123,Unlikely,Likely
19,43,61,87,Very likely,Likely
31,47,68,89,Likely,Very likely
10,20,65,140,Unlikely,Likely
10,30,60,100,Likely,Unlikely
18,30,51,61,Very likely,Likely
31,45,100,130,Neither likely nor unlikely,Neither likely nor unlikely
19,64,95,125,Likely,Neither likely nor unlikely
20,35,68,75,Very likely,Neither likely nor unlikely
42,67,86,120,Neither likely nor unlikely,Likely
142,166,173,200,Neither likely nor unlikely,Neither likely nor unlikely
46,82,114,170,Likely,Neither likely nor unlikely
30,59,99,120,Unlikely,Very likely
26,56,70,72,Neither likely nor unlikely,Very unlikely
39,48,89,193,Likely,Neither likely nor unlikely
40,100,130,200,Likely,Likely
40,55,77,90,Unlikely,Very likely
49,81,109,148,Likely,Neither likely nor unlikely
15,20,31,91,Neither likely nor unlikely,Very likely
20,53,67,91,Likely,Very likely
10,13,68,86,Very likely,Unlikely
21,40,65,100,Likely,Likely
14,40,59,61,Likely,Very unlikely
55,80,100,120,Very likely,Likely
15,40,60,111,Neither likely nor unlikely,Likely
56,71,98,131,Likely,Neither likely nor unlikely
31,72,120,142,Very likely,Neither likely nor unlikely
21,40,96,110,Unlikely,Likely
11,82,97,168,Neither likely nor unlikely,Neither likely nor unlikely
18,46,58,115,Very likely,Neither likely nor unlikely
19,72,166,200,Likely,Neither likely nor unlikely
50,70,101,121,Very likely,Likely
10,73,104,130,Likely,Likely
20,40,60,60,Neither likely nor unlikely,Neither likely nor unlikely
38,76,135,158,Very likely,Unlikely
12,42,77,105,Very likely,Unlikely
93,107,111,161,Likely,Likely
15,30,45,90,Neither likely nor unlikely,Likely
26,40,51,100,Unlikely,Neither likely nor unlikely
41,75,111,138,Likely,Unlikely
41,61,75,102,Likely,Unlikely
30,45,61,80,Very likely,Neither likely nor unlikely
10,23,37,200,Likely,Neither likely nor unlikely
20,138,165,200,Very likely,Very likely
46,57,74,80,Likely,Neither likely nor unlikely
23,68,94,138,Very likely,Likely
19,30,44,82,Likely,Unlikely
26,40,80,100,Very likely,Unlikely
10,39,84,104,Neither likely nor unlikely,Likely
30,35,60,89,Likely,Likely
35,48,56,79,Neither likely nor unlikely,Likely
17,40,80,104,Very likely,Likely
10,39,45,76,Unlikely,Likely
30,76,119,187,Neither likely nor unlikely,Very unlikely
27,41,67,98,Neither likely nor unlikely,Neither likely nor unlikely
18,35,66,109,Likely,Very unlikely
36,38,98,179,Likely,Neither likely nor unlikely
53,67,89,200,Very likely,Very likely
10,40,62,104,Likely,Likely
20,69,85,200,Very likely,Likely
27,73,87,123,Likely,Neither likely nor unlikely
40,55,80,111,Very unlikely,Likely
17,44,110,160,Neither likely nor unlikely,Very unlikely
40,57,91,120,Likely,Neither likely nor unlikely
10,10,15,200,Very unlikely,Very unlikely
40,55,85,100,Very likely,Neither likely nor unlikely
40,55,67,85,Very likely,Likely
10,29,65,72,Neither likely nor unlikely,Neither likely nor unlikely
35,50,70,105,Neither likely nor unlikely,Likely
20,35,55,70,Likely,Likely
35,45,55,69,Likely,Neither likely nor unlikely
25,30,91,100,Likely,Unlikely
18,58,122,200,Neither likely nor unlikely,Likely
10,67,105,200,Likely,Unlikely
40,79,124,142,Neither likely nor unlikely,Likely
44,59,85,96,Likely,Neither likely nor unlikely
30,65,95,155,Likely,Likely
28,48,83,104,Very likely,Unlikely
10,70,96,200,Neither likely nor unlikely,Neither likely nor unlikely
47,95,116,200,Likely,Unlikely
20,40,75,81,Likely,Likely
20,33,69,70,Likely,Unlikely
10,24,43,67,Likely,Neither likely nor unlikely
10,12,50,91,Very likely,Neither likely nor unlikely
10,28,52,100,Neither likely nor unlikely,Likely
71,71,73,75,Very unlikely,Neither likely nor unlikely
30,50,63,85,Neither likely nor unlikely,Likely
21,51,61,98,Very likely,Very likely
50,77,110,135,Very likely,Neither likely nor unlikely
10,50,90,101,Likely,Likely
48,62,84,186,Very likely,Likely
93,94,94,97,Unlikely,Likely
55,70,89,104,Likely,Likely
20,36,60,120,Likely,Neither likely nor unlikely
20,51,86,128,Very unlikely,Likely
10,69,84,148,Likely,Unlikely
10,89,91,200,Very likely,Neither likely nor unlikely
70,75,90,110,Likely,Likely
14,55,87,187,Likely,Likely
32,40,68,70,Neither likely nor unlikely,Neither likely nor unlikely
30,84,132,195,Likely,Unlikely
15,95,110,200,Very unlikely,Neither likely nor unlikely
21,30,87,140,Unlikely,Unlikely
49,84,112,144,Very likely,Very likely
33,60,86,107,Unlikely,Likely
30,40,125,160,Unlikely,Likely
43,74,106,125,Very likely,Neither likely nor unlikely
40,55,92,120,Very likely,Likely
44,70,153,160,Likely,Likely
10,41,84,130,Neither likely nor unlikely,Very likely
22,40,60,94,Unlikely,Likely
30,57,82,104,Unlikely,Likely
35,55,80,110,Unlikely,Likely
78,111,119,149,Unlikely,Neither likely nor unlikely
29,38,45,81,Neither likely nor unlikely,Neither likely nor unlikely
85,112,131,168,Unlikely,Unlikely
41,101,125,156,Neither likely nor unlikely,Neither likely nor unlikely
13,68,78,123,Neither likely nor unlikely,Neither likely nor unlikely
20,26,66,73,Neither likely nor unlikely,Likely
40,43,51,65,Likely,Unlikely
27,58,61,98,Likely,Likely
31,60,70,85,Likely,Very likely
20,47,68,100,Neither likely nor unlikely,Likely
13,37,67,77,Likely,Neither likely nor unlikely
26,42,53,70,Likely,Neither likely nor unlikely
30,54,101,152,Likely,Neither likely nor unlikely
15,26,50,61,Neither likely nor unlikely,Neither likely nor unlikely
40,61,80,95,Very unlikely,Neither likely nor unlikely
102,136,153,200,Likely,Likely
70,115,128,153,Neither likely nor unlikely,Neither likely nor unlikely
25,40,56,68,Very likely,Likely
19,42,87,100,Neither likely nor unlikely,Unlikely
31,79,157,187,Unlikely,Neither likely nor unlikely
10,22,48,64,Likely,Unlikely
30,65,107,150,Very likely,Neither likely nor unlikely
37,52,89,108,Very likely,Likely
32,66,83,121,Likely,Unlikely
10,23,34,163,Neither likely nor unlikely,Likely
45,65,86,106,Likely,Neither likely nor unlikely
33,51,130,150,Neither likely nor unlikely,Likely
24,44,103,125,Unlikely,Unlikely
30,48,74,94,Unlikely,Likely
10,31,83,124,Likely,Likely
27,40,51,62,Very likely,Very likely
23,53,73,90,Very likely,Very likely
20,68,93,149,Likely,Likely
30,72,117,141,Likely,Likely
76,89,101,118,Very likely,Very likely
18,39,54,115,Likely,Likely
19,63,123,153,Likely,Unlikely
99,101,106,200,Unlikely,Neither likely nor unlikely
38,53,80,111,Neither likely nor unlikely,Neither likely nor unlikely
26,50,82,97,Likely,Unlikely
15,40,105,146,Very likely,Likely
10,52,80,128,Neither likely nor unlikely,Likely
19,41,62,63,Likely,Unlikely
29,52,88,118,Very likely,Very likely
60,80,90,105,Likely,Neither likely nor unlikely
67,89,129,158,Unlikely,Very likely
20,34,79,101,Very likely,Unlikely
30,50,80,99,Likely,Neither likely nor unlikely
13,100,195,200,Likely,Neither likely nor unlikely
10,41,55,90,Likely,Likely
30,40,60,70,Likely,Neither likely nor unlikely
30,50,110,150,Unlikely,Likely
10,41,86,134,Neither likely nor unlikely,Likely
10,20,70,80,Unlikely,Likely
10,22,85,135,Very unlikely,Likely
28,58,103,116,Neither likely nor unlikely,Neither likely nor unlikely
73,90,150,162,Very likely,Neither likely nor unlikely
13,35,70,120,Very likely,Likely
40,75,100,200,Likely,Very likely
20,75,105,120,Very likely,Likely
10,50,82,200,Neither likely nor unlikely,Neither likely nor unlikely
20,76,90,132,Likely,Likely
10,30,81,174,Likely,Neither likely nor unlikely
51,110,122,161,Very likely,Very likely
50,73,99,117,Very likely,Very likely
10,63,79,99,Likely,Likely
18,36,65,137,Likely,Very likely
162,164,169,194,Very likely,Very likely
25,61,106,138,Unlikely,Likely
120,133,150,167,Unlikely,Neither likely nor unlikely
84,166,184,200,Likely,Very likely
23,104,143,161,Likely,Likely
44,58,59,136,Neither likely nor unlikely,Neither likely nor unlikely
41,51,91,108,Likely,Neither likely nor unlikely
74,170,172,193,Very unlikely,Likely
20,61,85,100,Very likely,Neither likely nor unlikely
25,41,76,94,Likely,Unlikely
50,70,90,151,Likely,Unlikely
40,51,64,85,Neither likely nor unlikely,Unlikely
66,80,94,131,Likely,Likely
10,20,40,60,Unlikely,Unlikely
46,56,71,103,Very likely,Likely
19,23,48,88,Likely,Unlikely
25,50,70,90,Neither likely nor unlikely,Likely
44,87,114,154,Very likely,Likely
10,11,20,200,Very unlikely,Very unlikely
10,67,76,122,Very likely,Likely
15,40,70,85,Neither likely nor unlikely,Likely
45,68,74,78,Likely,Neither likely nor unlikely
12,51,62,96,Very likely,Likely
45,59,70,81,Very likely,Neither likely nor unlikely
10,50,89,101,Neither likely nor unlikely,Neither likely nor unlikely
12,30,79,100,Neither likely nor unlikely,Neither likely nor unlikely
20,50,64,80,Likely,Likely
25,41,121,152,Very unlikely,Likely
10,50,70,110,Very unlikely,Likely
25,35,56,80,Very likely,Likely
10,38,50,76,Neither likely nor unlikely,Neither likely nor unlikely
28,32,79,96,Neither likely nor unlikely,Neither likely nor unlikely
73,81,92,133,Neither likely nor unlikely,Neither likely nor unlikely
22,44,97,154,Very likely,Likely
13,35,75,95,Very likely,Unlikely
10,15,110,125,Unlikely,Likely
20,65,82,100,Likely,Unlikely
25,65,144,196,Very likely,Very unlikely
12,103,159,200,Very likely,Neither likely nor unlikely
23,65,123,160,Very likely,Likely
131,131,140,200,Very likely,Likely
40,70,120,140,Likely,Likely
30,50,80,100,Likely,Unlikely
30,50,81,101,Likely,Neither likely nor unlikely
71,88,100,120,Unlikely,Likely
36,57,84,115,Very unlikely,Neither likely nor unlikely
16,33,50,70,Very likely,Likely
40,70,100,200,Very likely,Very likely
22,54,70,200,Neither likely nor unlikely,Likely
25,50,77,103,Likely,Very unlikely
37,53,87,124,Neither likely nor unlikely,Likely
58,88,106,144,Neither likely nor unlikely,Unlikely
10,50,63,120,Likely,Likely
26,52,81,100,Likely,Likely
70,85,100,110,Likely,Unlikely
10,52,60,104,Likely,Likely
40,57,79,100,Very likely,Likely
20,87,123,194,Neither likely nor unlikely,Neither likely nor unlikely
26,59,120,192,Likely,Neither likely nor unlikely
19,40,74,97,Likely,Neither likely nor unlikely
41,72,111,125,Likely,Unlikely
25,40,75,90,Very likely,Likely
10,40,86,100,Neither likely nor unlikely,Likely
20,40,60,100,Neither likely nor unlikely,Likely
29,55,86,120,Very likely,Likely
